repo	timestamp	count_clones	uniques_clones	count_views	uniques_views
fhdsl/AI_for_Efficient_Programming	2024-11-19	NA	NA	1	1
fhdsl/AI_for_Efficient_Programming	2024-11-20	NA	NA	1	1
fhdsl/AI_for_Efficient_Programming	2024-11-22	NA	NA	3	2
fhdsl/AI_for_Efficient_Programming	2024-11-23	NA	NA	1	1
fhdsl/AI_for_Efficient_Programming	2024-11-25	NA	NA	1	1
fhdsl/containers-for-scientists-sandbox	2024-11-22	1	1	NA	NA
fhdsl/containers-for-scientists-sandbox	2024-11-28	1	1	NA	NA
fhdsl/containers-for-scientists-sandbox	2024-11-30	1	1	NA	NA
fhdsl/containers-for-scientists-sandbox	2024-11-17	NA	NA	1	1
fhdsl/containers-for-scientists-sandbox	2024-11-21	NA	NA	1	1
fhdsl/containers-for-scientists-sandbox	2024-11-25	NA	NA	1	1
fhdsl/containers-for-scientists-sandbox	2024-11-27	NA	NA	7	2
fhdsl/containers_for_scientists	2024-11-19	1	1	NA	NA
fhdsl/containers_for_scientists	2024-11-24	1	1	NA	NA
fhdsl/containers_for_scientists	2024-11-22	NA	NA	3	2
fhdsl/containers_for_scientists	2024-11-25	NA	NA	2	2
fhdsl/containers_for_scientists	2024-11-27	NA	NA	2	2
fhdsl/Proactive_Data_Management_and_Sharing	2024-11-20	53	5	13	2
fhdsl/Proactive_Data_Management_and_Sharing	2024-11-21	5	5	NA	NA
fhdsl/Proactive_Data_Management_and_Sharing	2024-11-23	1	1	NA	NA
fhdsl/Proactive_Data_Management_and_Sharing	2024-11-26	1	1	NA	NA
fhdsl/Proactive_Data_Management_and_Sharing	2024-11-29	1	1	NA	NA
fhdsl/Proactive_Data_Management_and_Sharing	2024-11-18	NA	NA	4	2
fhdsl/Proactive_Data_Management_and_Sharing	2024-11-19	NA	NA	2	1
fhdsl/Proactive_Data_Management_and_Sharing	2024-11-22	NA	NA	1	1
fhdsl/Proactive_Data_Management_and_Sharing	2024-11-25	NA	NA	2	2
